artist_name,track_name,track_id,track_popularity,artist_id,artist_popularity,artist_genres,artist_followers
Lil Tjay,Headshot (feat. Polo G & Fivio Foreign),4eNOLmx8r2IJAVKvBBL1jv,75,6jGMq4yGs7aQzuGsMgVgZR,78,"['brooklyn drill', 'melodic rap', 'nyc rap', 'rap']",7648294
Lil Tjay,Run It Up (feat. Offset & Moneybagg Yo),1dg3qy5DjoJodawfOCgrTP,77,6jGMq4yGs7aQzuGsMgVgZR,78,"['brooklyn drill', 'melodic rap', 'nyc rap', 'rap']",7648294
Pooh Shiesty,Back in Blood (feat. Lil Durk),7FGdjbZ32vMybPuP0IuE7d,73,5F1aAS1duwlzExnPs3l2Xe,67,"['memphis hip hop', 'southern hip hop', 'tennessee hip hop', 'trap']",1381665
Jhené Aiko,stranger,7eZXAeqqdLDrAp2MvrPzWn,73,5ZS223C6JyBfXasXxrRqOk,76,['r&b'],7121771
Taylor Swift,We Are Never Ever Getting Back Together (Taylor's Version),5YqltLsjdqFtvqE7Nrysvs,80,06HL4z0CvFAxyc27GXpf02,100,['pop'],96509805
Doja Cat,Get Into It (Yuh),0W6I02J9xcqK8MtSeosEXb,77,5cj0lLjcoR7YOSnhnX0Po5,87,"['dance pop', 'pop']",27823181
$uicideboy$,Avalon,7CxFWAnQ8eqiRL4W12Xzb6,73,1VPmR4DJC1PlOtd0IADAO0,84,"['cloud rap', 'dark trap', 'new orleans rap', 'underground hip hop']",6486691
Fuerza Regida,Me Acostumbre A Lo Bueno,1hHnCReCPe1FUkGLTeuCaC,77,0ys2OFYzWYB5hRDLCsBqxt,87,"['corrido', 'corridos tumbados', 'sad sierreno', 'sierreno']",6335385
Billie Eilish,Billie Bossa Nova,2KnuaZYoGzDoHiBTNYOTXG,80,6qqNVTkY8uBg9cP3Jd7DAH,87,"['art pop', 'pop']",90084481
John Legend,You Deserve It All,2ZAEbbKPNf1Wv1fifB2nyd,76,5y2Xq6xcjJb2jVM54GHK3t,76,"['neo soul', 'pop', 'pop soul', 'urban contemporary']",6649110
Taylor Swift,I Bet You Think About Me (feat. Chris Stapleton) (Taylor’s Version) (From The Vault),4CkgMiMqZ5JzW9iYXSTMTL,76,06HL4z0CvFAxyc27GXpf02,100,['pop'],96509805
Lainey Wilson,Things A Man Oughta Know,3S0sk6DSTgesXsUSAEHNr5,73,6tPHARSq45lQ8BSALCfkFC,69,"['contemporary country', 'modern country pop']",446625
$uicideboy$,Ugliest,2Q9nA56DKKJhj4cHMbHlAS,73,1VPmR4DJC1PlOtd0IADAO0,84,"['cloud rap', 'dark trap', 'new orleans rap', 'underground hip hop']",6486691
Carolina Gaitán - La Gaita,We Don't Talk About Bruno,52xJxFP6TqMuO4Yt0eOkMz,76,29PgYEggDV3cDP9QYTogwv,55,['movie tunes'],55488
Treaty Oak Revival,Missed Call,6ybZUqlfk938oS6WeBmDab,71,3444S3C4U9Ts86BnCtSPRV,63,['texas country'],63271
Lana Del Rey,Dealer,7iqQz931tn59mK6IZ3knRx,76,00FQb4jTyendYWaN8pK0wa,89,"['art pop', 'pop']",30783971
Kanye West,Praise God,0WSEq9Ko4kFPt8yo3ICd6T,77,5K4W6rqBFWDnAN6FQUkS6x,90,"['chicago rap', 'hip hop', 'rap']",22720443
J. Cole,a m a r i,2cnKST6T9qUo2i907lm8zX,75,6l3HvQ5sa6mXTsMTB19rO5,85,"['conscious hip hop', 'hip hop', 'north carolina hip hop', 'rap']",22256849
Adele,Easy On Me,46IZ0fSY2mpAiktS3KOqds,83,4dpARuHxo51G3z768sgnrY,84,"['british soul', 'pop', 'pop soul', 'uk pop']",53177093
